gene,species
CTNNA1,gamo_cpg
HSPA9,gamo_cpg
NPM1,gamo_cpg
Kazald1,gamo_cpg
Kcnip1,gamo_cpg
ZNF692,gamo_cpg
Zinc,gamo_cpg
L-amino-acid,gamo_cpg
GLYR1,gamo_cpg
CRAMP1,gamo_cpg
tbc1d24,gamo_cpg
NTN3,gamo_cpg
ANKFN1,gamo_cpg
TEDC2,gamo_cpg
CCNF,gamo_cpg
VRK3,gamo_cpg
ABCA3,gamo_cpg
PIGQ,gamo_cpg
Capn15,gamo_cpg
NAGPA,gamo_cpg
sec14l1,gamo_cpg
STXBP4,gamo_cpg
PPL,gamo_cpg
UBN1,gamo_cpg
Nme3,gamo_cpg
Spsb3,gamo_cpg
Igfals,gamo_cpg
ccdc78,gamo_cpg
Wdr24,gamo_cpg
wdr90,gamo_cpg
CFAP70,gamo_cpg
MSS51,gamo_cpg
pitpnc1,gamo_cpg
12-Sep,gamo_cpg
RAB11FIP3,gamo_cpg
Xpo6,gamo_cpg
ndk,gamo_cpg
Anks3,gamo_cpg
Cluap1,gamo_cpg
NLRC3,gamo_cpg
CORO7,gamo_cpg
VASN,gamo_cpg
SRL,gamo_cpg
ADCY9,gamo_cpg
CREBBP,gamo_cpg
Trap1,gamo_cpg
SLX4,gamo_cpg
Hmox2,gamo_cpg
Mgrn1,gamo_cpg
C7orf26,gamo_cpg
DNASE1,gamo_cpg
Eci1,gamo_cpg
PTX4,gamo_cpg
Clcn7,gamo_cpg
Fam234a,gamo_cpg
RGS11,gamo_cpg
ARHGDIG,gamo_cpg
AXIN1,gamo_cpg
Tmem8a,gamo_cpg
NPRL3,gamo_cpg
Mpg,gamo_cpg
Rhbdf1,gamo_cpg
GTF3C1,gamo_cpg
KIAA0556,gamo_cpg
IL20RB,gamo_cpg
RBFOX1,gamo_cpg
CARHSP1,gamo_cpg
USP7,gamo_cpg
rpusd1,gamo_cpg
chtf18,gamo_cpg
Cacna1h,gamo_cpg
B9D1,gamo_cpg
Epn2,gamo_cpg
Grap,gamo_cpg
Fam83g,gamo_cpg
CMLKR1,gamo_cpg
SHMT1,gamo_cpg
TOP3A,gamo_cpg
MIEF2,gamo_cpg
FLII,gamo_cpg
LLGL1,gamo_cpg
Alkbh5,gamo_cpg
Myo15a,gamo_cpg
DRG2,gamo_cpg
DRC3,gamo_cpg
Tom1l2,gamo_cpg
SREBF1,gamo_cpg
RAI1,gamo_cpg
NT5M,gamo_cpg
PLD6,gamo_cpg
MPRIP,gamo_cpg
TNFRSF13B,gamo_cpg
USP22,gamo_cpg
NATD1,gamo_cpg
Map2k3,gamo_cpg
ARPC1A,gamo_cpg
SMURF1,gamo_cpg
RNF216,gamo_cpg
FBXL18,gamo_cpg
TNRC18,gamo_cpg
slc29a4,gamo_cpg
WIPI2,gamo_cpg
Mmd2,gamo_cpg
RADIL,gamo_cpg
CYP3A12,gamo_cpg
SDK1,gamo_cpg
AMZ1,gamo_cpg
Brat1,gamo_cpg
LFNG,gamo_cpg
Ints1,gamo_cpg
Dnaaf5,gamo_cpg
Pdgfa,gamo_cpg
TRRAP,gamo_cpg
TMEM130,gamo_cpg
Baiap2l1,gamo_cpg
Parvalbumin%2C,gamo_cpg
EIF2AK1,gamo_cpg
EEF2K,gamo_cpg
DNAH3,gamo_cpg
TMC5,gamo_cpg
Itpripl2,gamo_cpg
SMG1,gamo_cpg
ABCC1,gamo_cpg
pdxdc1,gamo_cpg
NTAN1,gamo_cpg
Gspt1,gamo_cpg
